candidate,url
26|Bonnie Coleman|incumbent|Housenj - 12/elections/candidate/house-i/bonnie-coleman/26,https://ballotpedia.org/Bonnie_Watson_Coleman
110|G K Butterfield|incumbent|Housenc - 1/elections/candidate/house-i/g-k-butterfield/110,https://ballotpedia.org/G.K._Butterfield
106|Andy Kim|incumbent|Housenj - 3/elections/candidate/house-i/andy-kim/106,https://ballotpedia.org/Andrew_Kim_(New_Jersey)
73|Don Norcross|incumbent|Housenj - 1/elections/candidate/house-i/don-norcross/73,https://ballotpedia.org/Donald_Norcross
179|John Bergman|incumbent|Housemi - 1/elections/candidate/house-i/john-bergman/179,https://ballotpedia.org/Jack_Bergman
293|James P McGovern|incumbent|Housema - 2/elections/candidate/house-i/james-p-mcgovern/293,https://ballotpedia.org/Jim_McGovern
16|Lizzie Fletcher|incumbent|Housetx - 7/elections/candidate/house-i/lizzie-fletcher/16,https://ballotpedia.org/Lizzie_Pannill_Fletcher
31|Rosa L DeLauro|incumbent|Housect - 3/elections/candidate/house-i/rosa-l-delauro/31,https://ballotpedia.org/Rosa_DeLauro
373|Dan Crenshaw|incumbent|Housetx - 2/elections/candidate/house-i/dan-crenshaw/373,https://ballotpedia.org/Daniel_Crenshaw
296|Joseph Neguse|incumbent|Houseco - 2/elections/candidate/house-i/joseph-neguse/296,https://ballotpedia.org/Joe_Neguse
812|Jenny Bell||Houseoh - 12/elections/candidate/house/jenny-bell/812,https://ballotpedia.org/Jennifer_Bell
10|Al Lemmo||Housemi - 13/elections/candidate/house/al-lemmo/10,https://ballotpedia.org/Alfred_Lemmo
28|Angelica Duenas||Houseca - 29/elections/candidate/house/angelica-duenas/28,https://ballotpedia.org/Angelica_Due%C3%B1as
29|Frank Polo||Housefl - 27/elections/candidate/house/frank-polo/29,https://ballotpedia.org/Frank_Polo_Sr.
42|Bob Patterson||Housenj - 2/elections/candidate/house/bob-patterson/42,https://ballotpedia.org/Bob_Patterson_(New_Jersey)
61|Michael Bluemling Jr||Housefl - 21/elections/candidate/house/michael-bluemling-jr/61,#N/A
65|Josh Wheeler||Senatewy - 2/elections/candidate/senate/josh-wheeler/65,https://ballotpedia.org/Joshua_Wheeler
74|Lashonda Holloway||Housefl - 5/elections/candidate/house/lashonda-holloway/74,https://ballotpedia.org/L.J._Holloway
79|MJ Hegar||Senatetx - 1/elections/candidate/senate/mj-hegar/79,https://ballotpedia.org/M.J._Hegar
85|Kathryn Ellis||Housemo - 8/elections/candidate/house/kathryn-ellis/85,https://ballotpedia.org/Kathy_Ellis
97|Brandon Peters||Housefl - 3/elections/candidate/house/brandon-peters/97,https://ballotpedia.org/Brandon_Scott_Peters
154|Gary Adler||Housefl - 5/elections/candidate/house/gary-adler/154,#N/A
166|Sheila Griffin||Housefl - 13/elections/candidate/house/sheila-griffin/166,https://ballotpedia.org/Sheila_Scott_Griffin
180|Vic Abundis||Housemo - 6/elections/candidate/house/vic-abundis/180,https://ballotpedia.org/Victor_Abundis
181|Michael Broihier||Senateky - 1/elections/candidate/senate/michael-broihier/181,https://ballotpedia.org/Mike_Broihier
184|Lou Lanni||Housepa - 5/elections/candidate/house/lou-lanni/184,https://ballotpedia.org/Louis_Lanni
196|Nick Oviatt||Housene - 1/elections/candidate/house/nick-oviatt/196,https://ballotpedia.org/Nicholas_Oviatt
206|Jim Vandermaas||Senateid - 1/elections/candidate/senate/jim-vandermaas/206,https://ballotpedia.org/James_Vandermaas
207|Nick LaLota||Houseny - 2/elections/candidate/house/nick-lalota/207,https://ballotpedia.org/Nicholas_J._Lalota
220|Juan Hidalgo||Houseca - 51/elections/candidate/house/juan-hidalgo/220,https://ballotpedia.org/Juan_Hidalgo_Jr.
230|Sam Branscum||Housemi - 7/elections/candidate/house/sam-branscum/230,https://ballotpedia.org/Samuel_Branscum
240|Mara Reardon||Housein - 1/elections/candidate/house/mara-reardon/240,https://ballotpedia.org/Mara_Candelaria_Reardon
243|Tammy Swearengin||Senateok - 2/elections/candidate/senate/tammy-swearengin/243,
244|Matt Hahn||Housewv - 2/elections/candidate/house/matt-hahn/244,https://ballotpedia.org/Matthew_Hahn
245|Rob Ortt||Houseny - 27/elections/candidate/house/rob-ortt/245,https://ballotpedia.org/Robert_Ortt
247|Jake Laturner||Houseks - 2/elections/candidate/house/jake-laturner/247,https://ballotpedia.org/Jacob_LaTurner
248|Dale Dorris||Housein - 9/elections/candidate/house/dale-dorris/248,https://ballotpedia.org/D._Liam_Dorris
252|Ross Lajeunesse||Senateme - 2/elections/candidate/senate/ross-lajeunesse/252,https://ballotpedia.org/Ross_LaJeunesse
254|Japheth Matemu||Housenc - 2/elections/candidate/house/japheth-matemu/254,https://ballotpedia.org/Jeff_Matemu
265|Ford O'Connell||Housefl - 19/elections/candidate/house/ford-oconnell/265,https://ballotpedia.org/Ford_O%E2%80%99Connell
271|Nicolas Sacramento||Housefl - 13/elections/candidate/house/nicolas-sacramento/271,
272|Catherine Albro||Housemi - 3/elections/candidate/house/catherine-albro/272,https://ballotpedia.org/Cathy_Albro
292|Anise Golden Morpor||Housenm - 3/elections/candidate/house/anise-golden-morpor/292,https://ballotpedia.org/Anastacia_Golden_Morper
323|Ervan Miller||Housefl - 20/elections/candidate/house/ervan-miller/323,https://ballotpedia.org/Ervan_Katari_Miller
347|Todd Rowley||Housepa - 13/elections/candidate/house/todd-rowley/347,https://ballotpedia.org/Raymond_Rowley
354|Maria Salazar||Housefl - 27/elections/candidate/house/maria-salazar/354,https://ballotpedia.org/Maria_Elvira_Salazar
365|Christopher Milton||Senateco - 2/elections/candidate/senate/christopher-milton/365,https://ballotpedia.org/Christopher_Hawkins_Critter_Milton
381|Samuel Lee Williams Jr||Housetx - 16/elections/candidate/house/samuel-lee-williams-jr/381,https://ballotpedia.org/Samuel_Williams_Jr.
391|MG Salazar||Housemo - 5/elections/candidate/house/mg-salazar/391,https://ballotpedia.org/Maite_Salazar
392|Victor Garcia Da Rosa||Housefl - 21/elections/candidate/house/victor-garcia-da-rosa/392,https://ballotpedia.org/Victor_Garcia_da_Rosa
394|Sri Kulkarni||Housetx - 22/elections/candidate/house/sri-kulkarni/394,https://ballotpedia.org/Sri_Preston_Kulkarni
398|Steven House||Houseco - 6/elections/candidate/house/steven-house/398,https://ballotpedia.org/Steve_House
411|Jared Vanderdussen||Housenm - 1/elections/candidate/house/jared-vanderdussen/411,https://ballotpedia.org/Jared_Vander_Dussen
419|Dwayne Duke Buckner||Senatesc - 2/elections/candidate/senate/dwayne-duke-buckner/419,https://ballotpedia.org/Duke_Buckner
427|Clinton Wesley Morgan||Senateky - 1/elections/candidate/senate/clinton-wesley-morgan/427,https://ballotpedia.org/C._Wesley_Morgan
451|Andy Jacobs Jr. Jr.||Housein - 5/elections/candidate/house/andy-jacobs-jr-jr/451,https://ballotpedia.org/Andy_Jacobs
456|Josh Schoenblatt||Houseia - 3/elections/candidate/house/josh-schoenblatt/456,https://ballotpedia.org/Joshua_Louis_Schoenblatt
494|Bridget Fleming||Houseny - 1/elections/candidate/house/bridget-fleming/494,https://ballotpedia.org/Bridget_M._Fleming
498|Jennifer Perelman||Housefl - 23/elections/candidate/house/jennifer-perelman/498,https://ballotpedia.org/Jen_Perelman
508|Teresa Leger||Housenm - 3/elections/candidate/house/teresa-leger/508,https://ballotpedia.org/Teresa_Leger_Fernandez
521|Tom Kean||Housenj - 7/elections/candidate/house/tom-kean/521,https://ballotpedia.org/Thomas_Kean_Jr.
523|Christine Bish||Houseca - 6/elections/candidate/house/christine-bish/523,https://ballotpedia.org/Chris_Bish
543|Merideth Vansant||Houseok - 5/elections/candidate/house/merideth-vansant/543,https://ballotpedia.org/Merideth_VanSant
577|Peter Greenwald||Houseva - 7/elections/candidate/house/peter-greenwald/577,https://ballotpedia.org/Pete_Greenwald
589|David Madison Cawthorn||Housenc - 11/elections/candidate/house/david-madison-cawthorn/589,https://ballotpedia.org/Madison_Cawthorn
590|Tom Siedenbuehl||Housepa - 6/elections/candidate/house/tom-siedenbuehl/590,https://ballotpedia.org/Thomas_Siedenbuehl
615|Daniel Feehan||Housemn - 1/elections/candidate/house/daniel-feehan/615,https://ballotpedia.org/Dan_Feehan
625|Ervan Miller||Senatega - 1/elections/candidate/senate/ervan-miller/625,https://ballotpedia.org/Ervan_Katari_Miller
628|Jim Lower||Housemi - 3/elections/candidate/house/jim-lower/628,https://ballotpedia.org/James_Lower
632|Chris Jacobs||Houseny - 27/elections/candidate/house/chris-jacobs/632,https://ballotpedia.org/Christopher_Jacobs
640|Ronda Kennedy||Houseca - 26/elections/candidate/house/ronda-kennedy/640,https://ballotpedia.org/Ronda_Baldwin-Kennedy
646|Michael Lapierre||Senatesc - 2/elections/candidate/senate/michael-lapierre/646,https://ballotpedia.org/Michael_LaPierre
657|Andy Romagnano||Housefl - 1/elections/candidate/house/andy-romagnano/657,https://ballotpedia.org/Chase_Anderson_Romagnano
665|Dennis Misigoy||Housefl - 26/elections/candidate/house/dennis-misigoy/665,#N/A
667|Rob Barrett||Senatemn - 1/elections/candidate/senate/rob-barrett/667,https://ballotpedia.org/Rob_Barrett_Jr.
671|Mel Gagarin||Houseny - 6/elections/candidate/house/mel-gagarin/671,https://ballotpedia.org/Melquiades_Gagarin
672|Katherine Landing||Housesc - 1/elections/candidate/house/katherine-landing/672,https://ballotpedia.org/Kathy_Landing
695|Joshua Sauberman||Houseny - 3/elections/candidate/house/joshua-sauberman/695,https://ballotpedia.org/Josh_Sauberman
696|Stephen Cornwell||Houseny - 22/elections/candidate/house/stephen-cornwell/696,https://ballotpedia.org/Steve_Cornwell
697|Liam O'Mara||Houseca - 42/elections/candidate/house/liam-omara/697,https://ballotpedia.org/William_O'Mara
705|Asha Castleberry Hernandez||Houseny - 17/elections/candidate/house/asha-castleberry-hernandez/705,https://ballotpedia.org/Asha_Castleberry-Hernandez
714|Rikin Mehta||Senatenj - 2/elections/candidate/senate/rikin-mehta/714,https://ballotpedia.org/Rik_Mehta
719|Matt Hook||Housein - 5/elections/candidate/house/matt-hook/719,https://ballotpedia.org/Matthew_Hook
732|Demetrick Pennie||Housetx - 30/elections/candidate/house/demetrick-pennie/732,https://ballotpedia.org/Tre_Pennie
736|Steven Reeder||Houseia - 4/elections/candidate/house/steven-reeder/736,https://ballotpedia.org/Steve_Reeder
743|Michael Blueming Jr||Housefl - 21/elections/candidate/house/michael-blueming-jr/743,https://ballotpedia.org/Michael_Bluemling_Jr.
746|Elizabeth Felton||Housefl - 21/elections/candidate/house/elizabeth-felton/746,https://ballotpedia.org/Liz_Felton
759|Pat Maher||Houseny - 2/elections/candidate/house/pat-maher/759,https://ballotpedia.org/Patricia_M._Maher
768|Gloria Bromell-Tinubu||Senatesc - 2/elections/candidate/senate/gloria-bromelltinubu/768,https://ballotpedia.org/Gloria_Bromell_Tinubu
769|Jim Pruden||Housefl - 22/elections/candidate/house/jim-pruden/769,https://ballotpedia.org/James_Pruden_(Florida)
783|Gina Jones||Housetx - 23/elections/candidate/house/gina-jones/783,https://ballotpedia.org/Gina_Ortiz_Jones
795|Matt Truong||Houseva - 10/elections/candidate/house/matt-truong/795,https://ballotpedia.org/Matthew_Truong
796|Dana Ferguson||Housemi - 1/elections/candidate/house/dana-ferguson/796,https://ballotpedia.org/Dana_Alan_Ferguson
800|Geoffrey Young||Houseky - 6/elections/candidate/house/geoffrey-young/800,https://ballotpedia.org/Jeff_Young_(Vermont)
803|Mike Vilardi||Housefl - 21/elections/candidate/house/mike-vilardi/803,https://ballotpedia.org/Michael_Vilardi
807|Catherine Kunkel||Housewv - 2/elections/candidate/house/catherine-kunkel/807,https://ballotpedia.org/Cathy_Kunkel
810|David Kim||Housega - 7/elections/candidate/house/david-kim/810,https://ballotpedia.org/David_Kim_(Georgia)
834|Marjorie Greene||Housega - 14/elections/candidate/house/marjorie-greene/834,https://ballotpedia.org/Marjorie_Taylor_Greene
861|Adair Boroughs||Housesc - 2/elections/candidate/house/adair-boroughs/861,https://ballotpedia.org/Adair_Ford_Boroughs
869|George S. Flinn Jr.||Senatetn - 2/elections/candidate/senate/george-s-flinn-jr/869,https://ballotpedia.org/George_Flinn_Jr.
876|Samuel Ravelo||Houseny - 16/elections/candidate/house/samuel-ravelo/876,https://ballotpedia.org/Sammy_Ravelo
882|Tom McDermott||Housein - 1/elections/candidate/house/tom-mcdermott/882,https://ballotpedia.org/Thomas_McDermott_Jr.
885|James Debello||Houseca - 52/elections/candidate/house/james-debello/885,https://ballotpedia.org/Jim_DeBello
902|Jake Laturner||Senateks - 1/elections/candidate/senate/jake-laturner/902,https://ballotpedia.org/Jacob_LaTurner
903|Josh Duvall||Housenj - 1/elections/candidate/house/josh-duvall/903,https://ballotpedia.org/Joshua_Duvall
917|Ruben Diaz Sr||Houseny - 15/elections/candidate/house/ruben-diaz-sr/917,https://ballotpedia.org/Ruben_Diaz_Sr.
932|Richard McCormick||Housega - 7/elections/candidate/house/richard-mccormick/932,https://ballotpedia.org/Rich_McCormick
,#N/A