name,state,category
City_Council_Commissioner_District,AL,City
County_Commissioner_District,AL,County
County_Supervisorial_District,AL,County
US_Congressional_District,AL,State
State_Senate_District,AL,State
State_House_District,AL,State
City_School_District,AL,Education
County_Legislative_District,AL,Education
Board_of_Education_District,AL,Education
School_District,AL,Education
City_Council_Commissioner_District,AK,City
County_Commissioner_District,AK,County
County_Supervisorial_District,AK,County
State_Senate_District,AK,State
State_House_District,AK,State
County_Legislative_District,AK,Education
City_Council_Commissioner_District,AZ,City
County_Commissioner_District,AZ,County
County_Supervisorial_District,AZ,County
US_Congressional_District,AZ,State
State_Senate_District,AZ,State
State_House_District,AZ,State
Community_College,AZ,Education
Community_College_Commissioner_District,AZ,Education
Community_College_SubDistrict,AZ,Education
County_Legislative_District,AZ,Education
Elementary_School_District,AZ,Education
High_School_District,AZ,Education
School_District,AZ,Education
School_District_Vocational,AZ,Education
Unified_School_District,AZ,Education
Unified_School_SubDistrict,AZ,Education
City_Council_Commissioner_District,AR,City
County_Commissioner_District,AR,County
County_Supervisorial_District,AR,County
US_Congressional_District,AR,State
State_Senate_District,AR,State
State_House_District,AR,State
County_Legislative_District,AR,Education
School_District,AR,Education
School_Subdistrict,AR,Education
Judicial_Appellate_District,AR,Judicial
Judicial_Circuit_Court_District,AR,Judicial
Judicial_Sub_Circuit_District,AR,Judicial
City_Council_Commissioner_District,CA,City
County_Commissioner_District,CA,County
County_Supervisorial_District,CA,County
US_Congressional_District,CA,State
State_Senate_District,CA,State
State_House_District,CA,State
City_School_District,CA,Education
Community_College,CA,Education
Community_College_Commissioner_District,CA,Education
Community_College_SubDistrict,CA,Education
County_Board_of_Education_District,CA,Education
County_Board_of_Education_SubDistrict,CA,Education
County_Legislative_District,CA,Education
Elementary_School_District,CA,Education
Elementary_School_SubDistrict,CA,Education
High_School_District,CA,Education
High_School_SubDistrict,CA,Education
School_District,CA,Education
School_Facilities_Improvement_District,CA,Education
School_Subdistrict,CA,Education
Superintendent_of_Schools_District,CA,Education
Unified_School_District,CA,Education
Unified_School_SubDistrict,CA,Education
Judicial_Appellate_District,CA,Judicial
Judicial_District,CA,Judicial
Judicial_Superior_Court_District,CA,Judicial
City_Council_Commissioner_District,CO,City
County_Commissioner_District,CO,County
County_Supervisorial_District,CO,County
US_Congressional_District,CO,State
State_Senate_District,CO,State
State_House_District,CO,State
College_Board_District,CO,Education
Community_College,CO,Education
County_Legislative_District,CO,Education
Board_of_Education_District,CO,Education
School_District,CO,Education
School_Subdistrict,CO,Education
Judicial_District_Court_District,CO,Judicial
City_Council_Commissioner_District,CT,City
County_Commissioner_District,CT,County
County_Supervisorial_District,CT,County
US_Congressional_District,CT,State
State_Senate_District,CT,State
State_House_District,CT,State
County_Legislative_District,CT,Education
High_School_District,CT,Education
School_District,CT,Education
City_Council_Commissioner_District,DE,City
County_Commissioner_District,DE,County
County_Supervisorial_District,DE,County
State_Senate_District,DE,State
State_House_District,DE,State
County_Legislative_District,DE,Education
School_District,DE,Education
City_Council_Commissioner_District,FL,City
County_Commissioner_District,FL,County
County_Supervisorial_District,FL,County
US_Congressional_District,FL,State
State_Senate_District,FL,State
State_House_District,FL,State
County_Legislative_District,FL,Education
School_Board_District,FL,Education
City_Council_Commissioner_District,GA,City
County_Commissioner_District,GA,County
County_Supervisorial_District,GA,County
US_Congressional_District,GA,State
State_Senate_District,GA,State
State_House_District,GA,State
City_School_District,GA,Education
County_Legislative_District,GA,Education
School_Board_District,GA,Education
Judicial_Circuit_Court_District,GA,Judicial
Judicial_Superior_Court_District,GA,Judicial
County_Commissioner_District,HI,County
County_Supervisorial_District,HI,County
US_Congressional_District,HI,State
State_Senate_District,HI,State
State_House_District,HI,State
County_Legislative_District,HI,Education
City_Council_Commissioner_District,ID,City
County_Commissioner_District,ID,County
County_Supervisorial_District,ID,County
US_Congressional_District,ID,State
State_Senate_District,ID,State
State_House_District,ID,State
County_Legislative_District,ID,Education
Unified_School_District,ID,Education
Unified_School_SubDistrict,ID,Education
City_Council_Commissioner_District,IL,City
Proposed_City_Commissioner_District,IL,City
County_Commissioner_District,IL,County
County_Supervisorial_District,IL,County
US_Congressional_District,IL,State
State_Senate_District,IL,State
State_House_District,IL,State
Community_College,IL,Education
Community_College_SubDistrict,IL,Education
County_Legislative_District,IL,Education
Educational_Service_District,IL,Education
Elementary_School_District,IL,Education
High_School_District,IL,Education
High_School_SubDistrict,IL,Education
School_District,IL,Education
School_Subdistrict,IL,Education
Judicial_Appellate_District,IL,Judicial
Judicial_Circuit_Court_District,IL,Judicial
Judicial_County_Board_of_Review_District,IL,Judicial
Judicial_Sub_Circuit_District,IL,Judicial
City_Council_Commissioner_District,IN,City
County_Commissioner_District,IN,County
County_Supervisorial_District,IN,County
US_Congressional_District,IN,State
State_Senate_District,IN,State
State_House_District,IN,State
County_Legislative_District,IN,Education
School_Board_District,IN,Education
School_District,IN,Education
City_Council_Commissioner_District,IA,City
County_Commissioner_District,IA,County
County_Supervisorial_District,IA,County
US_Congressional_District,IA,State
State_Senate_District,IA,State
State_House_District,IA,State
Community_College,IA,Education
Community_College_Commissioner_District,IA,Education
County_Legislative_District,IA,Education
School_District,IA,Education
School_Subdistrict,IA,Education
Judicial_District,IA,Judicial
City_Council_Commissioner_District,KS,City
County_Commissioner_District,KS,County
County_Supervisorial_District,KS,County
US_Congressional_District,KS,State
State_Senate_District,KS,State
State_House_District,KS,State
County_Legislative_District,KS,Education
Board_of_Education_District,KS,Education
School_District,KS,Education
Judicial_District,KS,Judicial
City_Council_Commissioner_District,KY,City
County_Commissioner_District,KY,County
County_Supervisorial_District,KY,County
US_Congressional_District,KY,State
State_Senate_District,KY,State
State_House_District,KY,State
County_Legislative_District,KY,Education
School_District,KY,Education
Judicial_Supreme_Court_District,KY,Judicial
City_Council_Commissioner_District,LA,City
County_Commissioner_District,LA,County
County_Supervisorial_District,LA,County
US_Congressional_District,LA,State
State_Senate_District,LA,State
State_House_District,LA,State
County_Legislative_District,LA,Education
School_Board_District,LA,Education
School_District,LA,Education
Superintendent_of_Schools_District,LA,Education
Judicial_Circuit_Court_District,LA,Judicial
Judicial_County_Court_District,LA,Judicial
Judicial_District_Court_District,LA,Judicial
Judicial_Sub_Circuit_District,LA,Judicial
Judicial_Supreme_Court_District,LA,Judicial
Judicial_Magistrate_Division,LA,Judicial
City_Council_Commissioner_District,ME,City
County_Commissioner_District,ME,County
County_Supervisorial_District,ME,County
US_Congressional_District,ME,State
State_Senate_District,ME,State
State_House_District,ME,State
County_Legislative_District,ME,Education
District_Attorney,ME,Judicial
City_Council_Commissioner_District,MD,City
County_Commissioner_District,MD,County
County_Supervisorial_District,MD,County
US_Congressional_District,MD,State
State_Senate_District,MD,State
State_House_District,MD,State
County_Legislative_District,MD,Education
School_District,MD,Education
City_Council_Commissioner_District,MA,City
County_Commissioner_District,MA,County
County_Supervisorial_District,MA,County
US_Congressional_District,MA,State
State_Senate_District,MA,State
State_House_District,MA,State
County_Legislative_District,MA,Education
Elementary_School_District,MA,Education
School_District,MA,Education
Unified_School_District,MA,Education
City_Council_Commissioner_District,MI,City
County_Commissioner_District,MI,County
County_Supervisorial_District,MI,County
US_Congressional_District,MI,State
State_Senate_District,MI,State
State_House_District,MI,State
County_Legislative_District,MI,Education
School_District,MI,Education
City_Council_Commissioner_District,MN,City
County_Commissioner_District,MN,County
County_Supervisorial_District,MN,County
US_Congressional_District,MN,State
State_Senate_District,MN,State
State_House_District,MN,State
County_Legislative_District,MN,Education
School_District,MN,Education
School_Subdistrict,MN,Education
Judicial_Circuit_Court_District,MN,Judicial
City_Council_Commissioner_District,MS,City
Election_Commissioner_District,MS,City
County_Commissioner_District,MS,County
County_Supervisorial_District,MS,County
US_Congressional_District,MS,State
State_Senate_District,MS,State
State_House_District,MS,State
City_School_District,MS,Education
County_Legislative_District,MS,Education
School_Board_District,MS,Education
School_District,MS,Education
District_Attorney,MS,Judicial
Judicial_Appellate_District,MS,Judicial
Judicial_Circuit_Court_District,MS,Judicial
Judicial_District_Court_District,MS,Judicial
Judicial_Supreme_Court_District,MS,Judicial
City_Council_Commissioner_District,MO,City
Proposed_City_Commissioner_District,MO,City
County_Commissioner_District,MO,County
County_Supervisorial_District,MO,County
US_Congressional_District,MO,State
State_Senate_District,MO,State
State_House_District,MO,State
County_Legislative_District,MO,Education
Elementary_School_District,MO,Education
Unified_School_District,MO,Education
City_Council_Commissioner_District,MT,City
County_Commissioner_District,MT,County
County_Supervisorial_District,MT,County
US_Congressional_District,MT,State
State_Senate_District,MT,State
State_House_District,MT,State
County_Legislative_District,MT,Education
Elementary_School_District,MT,Education
Unified_School_District,MT,Education
City_Council_Commissioner_District,NE,City
County_Commissioner_District,NE,County
County_Supervisorial_District,NE,County
US_Congressional_District,NE,State
State_Senate_District,NE,State
State_House_District,NE,State
Community_College,NE,Education
Community_College_SubDistrict,NE,Education
County_Legislative_District,NE,Education
Board_of_Education_District,NE,Education
Education_Commission_District,NE,Education
Educational_Service_District,NE,Education
High_School_District,NE,Education
School_District,NE,Education
School_Subdistrict,NE,Education
Judicial_Appellate_District,NE,Judicial
Judicial_County_Court_District,NE,Judicial
Judicial_District_Court_District,NE,Judicial
Judicial_Juvenile_Court_District,NE,Judicial
Judicial_Supreme_Court_District,NE,Judicial
City_Council_Commissioner_District,NV,City
County_Commissioner_District,NV,County
County_Supervisorial_District,NV,County
US_Congressional_District,NV,State
State_Senate_District,NV,State
State_House_District,NV,State
College_Board_District,NV,Education
County_Legislative_District,NV,Education
Educational_Service_District,NV,Education
School_District,NV,Education
City_Council_Commissioner_District,NH,City
County_Commissioner_District,NH,County
County_Supervisorial_District,NH,County
US_Congressional_District,NH,State
State_Senate_District,NH,State
State_House_District,NH,State
County_Legislative_District,NH,Education
Elementary_School_District,NH,Education
High_School_District,NH,Education
Unified_School_District,NH,Education
City_Council_Commissioner_District,NJ,City
County_Commissioner_District,NJ,County
County_Supervisorial_District,NJ,County
US_Congressional_District,NJ,State
State_Senate_District,NJ,State
State_House_District,NJ,State
City_School_District,NJ,Education
County_Legislative_District,NJ,Education
Elementary_School_District,NJ,Education
High_School_District,NJ,Education
School_District,NJ,Education
School_Subdistrict,NJ,Education
City_Council_Commissioner_District,NM,City
County_Commissioner_District,NM,County
County_Supervisorial_District,NM,County
US_Congressional_District,NM,State
State_Senate_District,NM,State
State_House_District,NM,State
City_School_District,NM,Education
College_Board_District,NM,Education
Community_College,NM,Education
Community_College_SubDistrict,NM,Education
County_Legislative_District,NM,Education
Education_Commission_District,NM,Education
School_Board_District,NM,Education
School_District,NM,Education
Judicial_District_Court_District,NM,Judicial
Judicial_Magistrate_Division,NM,Judicial
City_Council_Commissioner_District,NY,City
County_Commissioner_District,NY,County
County_Supervisorial_District,NY,County
US_Congressional_District,NY,State
State_Senate_District,NY,State
State_House_District,NY,State
County_Legislative_District,NY,Education
School_Board_District,NY,Education
Unified_School_District,NY,Education
Judicial_Magistrate_Division,NY,Judicial
City_Council_Commissioner_District,NC,City
County_Commissioner_District,NC,County
County_Supervisorial_District,NC,County
US_Congressional_District,NC,State
State_Senate_District,NC,State
State_House_District,NC,State
County_Legislative_District,NC,Education
Board_of_Education_District,NC,Education
District_Attorney,NC,Judicial
Judicial_District_Court_District,NC,Judicial
Judicial_Superior_Court_District,NC,Judicial
City_Council_Commissioner_District,ND,City
County_Commissioner_District,ND,County
County_Supervisorial_District,ND,County
State_Senate_District,ND,State
State_House_District,ND,State
County_Legislative_District,ND,Education
School_District,ND,Education
Judicial_District,ND,Judicial
City_Council_Commissioner_District,OH,City
County_Commissioner_District,OH,County
County_Supervisorial_District,OH,County
US_Congressional_District,OH,State
State_Senate_District,OH,State
State_House_District,OH,State
City_School_District,OH,Education
County_Legislative_District,OH,Education
Board_of_Education_District,OH,Education
Educational_Service_District,OH,Education
School_District,OH,Education
School_District_Vocational,OH,Education
Judicial_Appellate_District,OH,Judicial
City_Council_Commissioner_District,OK,City
County_Commissioner_District,OK,County
County_Supervisorial_District,OK,County
US_Congressional_District,OK,State
State_Senate_District,OK,State
State_House_District,OK,State
County_Legislative_District,OK,Education
School_District,OK,Education
School_District_Vocational,OK,Education
School_Subdistrict,OK,Education
City_Council_Commissioner_District,OR,City
County_Commissioner_District,OR,County
County_Supervisorial_District,OR,County
US_Congressional_District,OR,State
State_Senate_District,OR,State
State_House_District,OR,State
Community_College,OR,Education
Community_College_SubDistrict,OR,Education
County_Legislative_District,OR,Education
Educational_Service_District,OR,Education
School_District,OR,Education
School_Subdistrict,OR,Education
District_Attorney,OR,Judicial
Judicial_County_Court_District,OR,Judicial
Judicial_District_Court_District,OR,Judicial
City_Council_Commissioner_District,PA,City
County_Commissioner_District,PA,County
County_Supervisorial_District,PA,County
US_Congressional_District,PA,State
State_Senate_District,PA,State
State_House_District,PA,State
County_Legislative_District,PA,Education
School_District,PA,Education
School_Subdistrict,PA,Education
Judicial_Magistrate_Division,PA,Judicial
City_Council_Commissioner_District,RI,City
County_Commissioner_District,RI,County
County_Supervisorial_District,RI,County
US_Congressional_District,RI,State
State_Senate_District,RI,State
State_House_District,RI,State
County_Legislative_District,RI,Education
School_District,RI,Education
City_Council_Commissioner_District,SC,City
County_Commissioner_District,SC,County
County_Supervisorial_District,SC,County
US_Congressional_District,SC,State
State_Senate_District,SC,State
State_House_District,SC,State
County_Legislative_District,SC,Education
School_Board_District,SC,Education
Unified_School_District,SC,Education
City_Council_Commissioner_District,SD,City
County_Commissioner_District,SD,County
County_Supervisorial_District,SD,County
State_Senate_District,SD,State
State_House_District,SD,State
County_Legislative_District,SD,Education
School_Board_District,SD,Education
School_District,SD,Education
City_Council_Commissioner_District,TN,City
County_Commissioner_District,TN,County
County_Supervisorial_District,TN,County
US_Congressional_District,TN,State
State_Senate_District,TN,State
State_House_District,TN,State
City_School_District,TN,Education
County_Legislative_District,TN,Education
High_School_District,TN,Education
Unified_School_District,TN,Education
Judicial_District,TN,Judicial
City_Council_Commissioner_District,TX,City
County_Commissioner_District,TX,County
County_Supervisorial_District,TX,County
US_Congressional_District,TX,State
State_Senate_District,TX,State
State_House_District,TX,State
City_School_District,TX,Education
Community_College,TX,Education
Community_College_SubDistrict,TX,Education
County_Legislative_District,TX,Education
Board_of_Education_District,TX,Education
School_District,TX,Education
School_Subdistrict,TX,Education
Unified_School_District,TX,Education
District_Attorney,TX,Judicial
Judicial_Appellate_District,TX,Judicial
City_Council_Commissioner_District,UT,City
County_Commissioner_District,UT,County
County_Supervisorial_District,UT,County
US_Congressional_District,UT,State
State_Senate_District,UT,State
State_House_District,UT,State
County_Legislative_District,UT,Education
School_Board_District,UT,Education
School_District,UT,Education
School_Subdistrict,UT,Education
City_Council_Commissioner_District,VT,City
County_Commissioner_District,VT,County
County_Supervisorial_District,VT,County
State_Senate_District,VT,State
State_House_District,VT,State
County_Legislative_District,VT,Education
School_District,VT,Education
City_Council_Commissioner_District,VA,City
County_Commissioner_District,VA,County
County_Supervisorial_District,VA,County
US_Congressional_District,VA,State
State_Senate_District,VA,State
State_House_District,VA,State
County_Legislative_District,VA,Education
City_Council_Commissioner_District,WA,City
Proposed_City_Commissioner_District,WA,City
County_Commissioner_District,WA,County
County_Supervisorial_District,WA,County
US_Congressional_District,WA,State
State_Senate_District,WA,State
State_House_District,WA,State
County_Legislative_District,WA,Education
Educational_Service_District,WA,Education
School_Board_District,WA,Education
School_District,WA,Education
Judicial_Appellate_District,WA,Judicial
Judicial_District_Court_District,WA,Judicial
Judicial_Superior_Court_District,WA,Judicial
City_Council_Commissioner_District,WV,City
County_Commissioner_District,WV,County
County_Supervisorial_District,WV,County
US_Congressional_District,WV,State
State_Senate_District,WV,State
State_House_District,WV,State
County_Legislative_District,WV,Education
Judicial_Circuit_Court_District,WV,Judicial
Judicial_Family_Court_District,WV,Judicial
Judicial_Magistrate_Division,WV,Judicial
City_Council_Commissioner_District,WI,City
County_Commissioner_District,WI,County
County_Supervisorial_District,WI,County
US_Congressional_District,WI,State
State_Senate_District,WI,State
State_House_District,WI,State
Community_College,WI,Education
County_Legislative_District,WI,Education
High_School_District,WI,Education
School_District,WI,Education
School_Subdistrict,WI,Education
Unified_School_District,WI,Education
Unified_School_SubDistrict,WI,Education
District_Attorney,WI,Judicial
Judicial_Appellate_District,WI,Judicial
Judicial_District_Court_District,WI,Judicial
City_Council_Commissioner_District,WY,City
State_Senate_District,WY,State
State_House_District,WY,State
Community_College,WY,Education
Community_College_SubDistrict,WY,Education
County_Legislative_District,WY,Education
Unified_School_District,WY,Education
Judicial_District,WY,Judicial
County_Commissioner_District,WY,County
County_Supervisorial_District,WY,County